country,year,value,category
Germany,1986,,green
Germany,1987,,green
Germany,1988,,green
Germany,1989,,green
Germany,1990,3,green
Germany,1991,,green
Germany,1992,,green
Germany,1993,,green
Germany,1994,2.4,green
Germany,1995,,green
Germany,1996,,green
Germany,1997,1.75,green
Germany,1998,,green
Germany,1999,,green
Germany,2000,1.2,green
Germany,2001,,green
Germany,2002,,green
Germany,2003,,green
Germany,2004,1,green
Germany,2005,0.7,green
Germany,2006,,green
Germany,2007,,green
Germany,2008,,green
Germany,2009,0.57,green
Germany,2010,,green
Germany,2011,,green
Germany,2012,,green
Germany,2013,,green
Germany,2014,0.5,green
Germany,2015,,green
Germany,2016,,green
Germany,2017,,green
Germany,2018,,green
Germany,2019,,green
Germany,2020,,green
France,1970,,green
France,1971,,green
France,1972,,green
France,1973,,green
France,1974,,green
France,1975,,green
France,1976,,green
France,1977,,green
France,1978,,green
France,1979,,green
France,1980,,green
France,1981,,green
France,1982,,green
France,1983,,green
France,1984,,green
France,1985,,green
France,1986,,green
France,1987,4.2,green
France,1988,,green
France,1989,,green
France,1990,3,green
France,1991,,green
France,1992,,green
France,1993,2.1,green
France,1994,,green
France,1995,,green
France,1996,,green
France,1997,,green
France,1998,1.9,green
France,1999,,green
France,2000,,green
France,2001,,green
France,2002,,green
France,2003,,green
France,2004,,green
France,2005,,green
France,2006,1.23,green
France,2007,,green
France,2008,,green
France,2009,,green
France,2010,,green
France,2011,,green
France,2012,,green
France,2013,,green
France,2014,,green
France,2015,,green
France,2016,,green
France,2017,,green
France,2018,,green
France,2019,,green
France,2020,,green
Uruguay,1970,,green
Uruguay,1971,,green
Uruguay,1972,,green
Uruguay,1973,,green
Uruguay,1974,,green
Uruguay,1975,,green
Uruguay,1976,,green
Uruguay,1977,,green
Uruguay,1978,,green
Uruguay,1979,,green
Uruguay,1980,,green
Uruguay,1981,,green
Uruguay,1982,,green
Uruguay,1983,,green
Uruguay,1984,,green
Uruguay,1985,,green
Uruguay,1986,,green
Uruguay,1987,,green
Uruguay,1988,,green
Uruguay,1989,,green
Uruguay,1990,,green
Uruguay,1991,,green
Uruguay,1992,4.1,green
Uruguay,1993,,green
Uruguay,1994,,green
Uruguay,1995,,green
Uruguay,1996,,green
Uruguay,1997,,green
Uruguay,1998,,green
Uruguay,1999,2.5,green
Uruguay,2000,,green
Uruguay,2001,,green
Uruguay,2002,,green
Uruguay,2003,,green
Uruguay,2004,,green
Uruguay,2005,,green
Uruguay,2006,,green
Uruguay,2007,,green
Uruguay,2008,,green
Uruguay,2009,,green
Uruguay,2010,,green
Uruguay,2011,,green
Uruguay,2012,,green
Uruguay,2013,,green
Uruguay,2014,,green
Uruguay,2015,,green
Uruguay,2016,,green
Uruguay,2017,,green
Uruguay,2018,,green
Uruguay,2019,,green
Uruguay,2020,,green
Austria,1970,,yellow
Austria,1971,,yellow
Austria,1972,,yellow
Austria,1973,,yellow
Austria,1974,,yellow
Austria,1975,,yellow
Austria,1976,,yellow
Austria,1977,,yellow
Austria,1978,3,yellow
Austria,1979,,yellow
Austria,1980,,yellow
Austria,1981,,yellow
Austria,1982,,yellow
Austria,1983,,yellow
Austria,1984,3.8,yellow
Austria,1985,,yellow
Austria,1986,,yellow
Austria,1987,,yellow
Austria,1988,4.3,yellow
Austria,1989,,yellow
Austria,1990,,yellow
Austria,1991,,yellow
Austria,1992,,yellow
Austria,1993,,yellow
Austria,1994,3,yellow
Austria,1995,,yellow
Austria,1996,,yellow
Austria,1997,1.7,yellow
Austria,1998,,yellow
Austria,1999,,yellow
Austria,2000,,yellow
Austria,2001,,yellow
Austria,2002,1,yellow
Austria,2003,,yellow
Austria,2004,,yellow
Austria,2005,,yellow
Austria,2006,,yellow
Austria,2007,1.4,yellow
Austria,2008,,yellow
Austria,2009,,yellow
Austria,2010,,yellow
Austria,2011,,yellow
Austria,2012,,yellow
Austria,2013,,yellow
Austria,2014,,yellow
Austria,2015,,yellow
Austria,2016,,yellow
Austria,2017,,yellow
Austria,2018,,yellow
Austria,2019,,yellow
Austria,2020,,yellow
Argentina,1970,,yellow
Argentina,1971,,yellow
Argentina,1972,,yellow
Argentina,1973,,yellow
Argentina,1974,,yellow
Argentina,1975,,yellow
Argentina,1976,,yellow
Argentina,1977,,yellow
Argentina,1978,,yellow
Argentina,1979,,yellow
Argentina,1980,3.2,yellow
Argentina,1981,,yellow
Argentina,1982,,yellow
Argentina,1983,,yellow
Argentina,1984,,yellow
Argentina,1985,,yellow
Argentina,1986,,yellow
Argentina,1987,3.4,yellow
Argentina,1988,,yellow
Argentina,1989,,yellow
Argentina,1990,,yellow
Argentina,1991,,yellow
Argentina,1992,,yellow
Argentina,1993,,yellow
Argentina,1994,,yellow
Argentina,1995,,yellow
Argentina,1996,,yellow
Argentina,1997,,yellow
Argentina,1998,,yellow
Argentina,1999,,yellow
Argentina,2000,,yellow
Argentina,2001,,yellow
Argentina,2002,,yellow
Argentina,2003,,yellow
Argentina,2004,,yellow
Argentina,2005,,yellow
Argentina,2006,,yellow
Argentina,2007,,yellow
Argentina,2008,,yellow
Argentina,2009,,yellow
Argentina,2010,,yellow
Argentina,2011,,yellow
Argentina,2012,,yellow
Argentina,2013,,yellow
Argentina,2014,3,yellow
Argentina,2015,,yellow
Argentina,2016,,yellow
Argentina,2017,,yellow
Argentina,2018,,yellow
Argentina,2019,,yellow
Argentina,2020,,yellow
